// for mobs
// mob_id,sprite_id,equip #
// Use another mob's sprite for a monster.  0 for sprite will disable mob.
// Mob must have an equipment it's pet counterpart can use or it will cause problems.  If no equip use 0.
// The following if a player sprite is used
// MobID,SpriteID,Sex,Hair,Hair_Color,Weapon,Shield,Head_Top,Head_Middle,Head_Bottom,Option,Dye_Color
// Use Item ID for weapons and shields, not View ID.

2999,1038,0	//g_osiris (Custom)
3250,1132,0	//Giant Khalitzburg
3251,1582,0	//Giant Deviling
3301,1288,0	//Fake Emperium
3302,1398,0	//Event Crystal 1
3303,1398,0	//Event Crystal 2

3001,1091,0		//G_DRAGON_FLY
3002,1092,0		//G_VAGABOND_WOLF
3003,1089,0		//G_TOAD

// MobID,SpriteID,Sex,Hair,Hair_Color,Weapon,Shield,Head_Top,Head_Middle,Head_Bottom,Option,Dye_Color
//-=-=-=-CSS25 Custom Mob Avail(MALE)-=-=-=-
// Fim MVPs

3109,4046,1,8,5,0,0,0,0,38,0,1 //TK
3110,4047,1,21,4,1222,0,38,0,0,0,1 //SG
3111,4048,1,22,3,1222,0,38,0,0,0,1 //FSG
3112,4049,1,23,2,1222,0,38,0,0,0,1 //SLinker

//-=-=-=-CSS25 Custom Mob Avail(FEMALE)-=-=-=-
3113,0,0,20,8,1218,2102,1,38,0,0,0,0 //novice
3114,1,0,19,7,1163,2,40,12,8,0,0 // Swordman
3115,2,0,18,6,1473,0,130,125,0,0,0 // Mage
3116,3,0,17,5,1716,0,72,0,55,0,0 // Archer
3117,4,0,16,4,1515,2102,64,0,0,0,0 // Aco
3118,5,0,15,3,1363,2,139,0,0,40,0 // Merchant
3119,6,0,14,2,1222,2102,131,0,56,0,0 // Thief

3120,7,0,13,1,1161,3,40,100,53,0,0 //Knight
3121,8,0,12,8,1551,0,64,0,0,0,0 //Priest
3122,9,0,11,7,1473,0,36,0,0,0,0 // Wizard
3123,10,0,10,6,1365,2,38,0,0,512,0 // BS
3124,11,0,9,5,1718,0,72,83,0,16,0 // Hunter
3125,12,0,8,4,1255,0,67,0,52,0,0 // Assassin
3126,13,0,7,3,1161,3,40,100,53,32,0 // Knight Peco

3127,14,0,6,2,1468,4,40,100,53,0,0 // Crusader
3128,15,0,5,1,1812,0,38,0,56,0,0 // Monk
3129,16,0,4,8,1552,0,112,0,0,0,0 // Sage
3130,17,0,3,7,1240,2,67,0,52,0,0 // Rogue
3131,18,0,2,6,1365,0,38,0,0,256,0 // Alchemist
3132,21,0,19,3,1468,4,40,100,53,32,0 // Crusader (Peco)
3134,20,0,20,4,1963,0,126,0,0,0,0 // Dancer

3133,23,0,18,2,1218,1,38,0,0,0,0 // SNovice

// MobID,SpriteID,Sex,Hair,Hair_Color,Weapon,Shield,Head_Top,Head_Middle,Head_Bottom,Option,Dye_Color
3135,4001,0,17,1,1218,2102,169,125,56,0,8 // NH
3136,4002,0,16,8,1163,2,40,100,53,0,0 //SH
//3137,4003,0,15,7,1473,0,130,0,0,0,0 //MH
3138,4004,0,14,6,1716,0,237,73,56,0,0 //AH
3139,4005,0,17,1,1553,2,219,73,56,0,5 //ACH
3140,4006,0,12,4,1363,2,38,0,0,40,0 //MCH
//3141,4007,0,11,3,1222,2102,67,0,8,0,0 //TH

//2142,4008,0,10,2,1161,3,40,100,53,0,0 //LK
3143,4009,0,9,1,1552,2103,105,0,0,0,0 //HP
3144,4010,0,8,8,1473,0,36,0,0,0,0 //HW
//3145,4011,0,7,7,1365,2,38,0,0,1024,0 //WS
// MobID,SpriteID,Sex,Hair,Hair_Color,Weapon,Shield,Head_Top,Head_Middle,Head_Bottom,Option,Dye_Color
//3147,4013,0,5,5,1255,0,67,0,52,0,0 //ASC
//3148,4015,0,4,4,1468,4,40,100,53,0,0 //PALADIN
//3149,4016,0,3,3,1812,0,38,0,56,0,0 //CHAMPION
//3150,4017,0,2,2,1552,0,112,0,0,0,0 //PROF
3151,4018,0,1,1,1240,2,67,0,52,0,0 //STALKER

3153,4046,0,17,5,0,0,0,38,0,0,0 //TK
3154,4047,0,16,4,1222,0,38,0,0,0,0 //SG
3155,4048,0,15,3,1222,0,38,0,0,0,0 //FSG
3156,4049,0,14,2,1222,0,38,0,0,0,0 //SLinker

//-=-=-=-CSS25 Custom Mob Avail Baby Class (MALE)-=-=-=-
//3158,4023,1,20,8,1218,1,38,0,0,0,0 
//3159,4024,1,19,7,1163,2,40,100,53,0,0 
//3160,4025,1,18,6,1473,0,130,0,0,0,0 
//3161,4026,1,17,5,1716,0,72,83,0,0,0 
//3162,4027,1,16,4,1515,2102,11,0,0,0,0 
//3163,4028,1,15,3,1363,2,38,0,0,40,0 
//3164,4029,1,14,2,1222,2102,67,0,8,0,0 
//3165,4030,1,13,1,1161,3,40,100,53,0,0 
//3166,4031,1,12,8,1551,0,11,0,0,0,0
//3167,4032,1,11,7,1473,0,36,0,0,0,0 
//3168,4033,1,10,6,1365,2,38,0,0,512,0 
3169,4034,1,9,5,1718,0,72,83,0,16,0 
//3170,4035,1,8,4,1255,0,67,0,52,0,0 
//3171,4036,1,7,3,1161,3,40,100,53,32,0 
//3172,4037,1,6,2,1468,4,40,100,53,0,0 
//3173,4038,1,5,1,1812,0,38,0,0,0,0 
//3174,4039,1,4,8,1552,0,112,0,0,0,0 
//3175,4040,1,3,7,1240,0,67,0,52,0,0 
//3176,4041,1,2,6,1365,0,38,0,0,256,0 
//3177,4042,1,1,5,1913,0,38,0,0,0,0 
//3178,4044,1,19,3,1468,3,40,100,53,32,0 
//3179,4045,1,18,2,1218,1,38,0,0,0,0 
//-=-=-=-CSS25 Custom Mob Avail Baby Class (FEMALE)-=-=-=-
//3180,4023,0,20,8,1218,2102,1,38,0,0,0,0 
//3181,4024,0,19,7,1163,2,40,100,53,0,0 
//3182,4025,0,18,6,1473,0,130,0,0,0,0  
//3183,4026,0,17,5,1716,0,72,83,0,0,0 
//3184,4027,0,16,4,1515,2102,64,0,0,0,0 
//3185,4028,0,15,3,1363,2,38,0,0,40,0 
//3186,4029,0,14,2,1222,2102,67,0,8,0,0 
//3187,4030,0,13,1,1161,3,40,100,53,0,0  
//3188,4031,0,12,8,1551,0,64,0,0,0,0 
//3189,4032,0,11,7,1473,0,36,0,0,0,0 
//3190,4033,0,10,6,1365,2,38,0,0,512,0 
//3191,4034,0,9,5,1718,0,72,83,0,16,0  
//3192,4035,0,8,4,1255,0,67,0,52,0,0 
//3193,4036,0,7,3,1161,3,40,100,53,32,0 
//3194,4037,0,6,2,1468,4,40,100,53,0,0 
//3195,4038,0,5,1,1812,0,38,0,0,0,0 
//3196,4039,0,4,8,1552,0,112,0,0,0,0 
//3197,4040,0,3,7,1240,0,67,0,52,0,0 
//3190,4041,0,2,6,1365,0,38,0,0,256,0 
//3199,4043,0,20,4,1963,0,126,0,0,0,0 
//3204,4044,0,19,3,1468,3,40,100,53,32,0 
//3205,4045,0,18,2,1218,1,38,0,0,0,0 
//-=-=-CSS25 Groom And Bride Mob Avail-=-=-
3206,22,1,8,8,15,0,130,0,0,0,0
3207,22,0,8,8,15,0,44,0,0,0,0
//-=-=-Ninja And Gunslinger Class-=-=-
// MobID,SpriteID,Sex,Hair,Hair_Color,Weapon,Shield,Head_Top,Head_Middle,Head_Bottom,Option,Dye_Color
3209,25,0,7,8,13006,0,0,0,0,0,0 // Ninja [Female]
//3296,25,1,7,8,13006,0,0,0,0,0,0 // Ninja [Male]
//3295,24,1,7,8,13100,0,0,0,0,0,0 // Gunslinger [Male]
3208,24,0,7,8,13100,0,0,0,0,0,0 // Gunslinger [Female]
